date,state,district,pincode,bio_age_5_17,bio_age_17_
2025-01-03,Jharkhand,dhanbad,828304.0,44.0,118.0
2025-01-03,Bihar,darbhanga,846003.0,438.0,859.0
2025-01-03,Madhya Pradesh,jabalpur,482002.0,458.0,678.0
2025-01-03,West Bengal,north 24 parganas,743145.0,127.0,234.0
2025-01-03,Uttar Pradesh,hardoi,241304.0,1025.0,328.0
2025-01-03,Karnataka,tumkur,572175.0,25.0,56.0
2025-01-03,Jammu And Kashmir,leh,194401.0,52.0,43.0
2025-01-03,Andhra Pradesh,west godavari,534316.0,134.0,73.0
2025-01-03,Haryana,kaithal,136044.0,235.0,368.0
2025-01-03,Gujarat,kachchh,370140.0,392.0,286.0
2025-01-03,Andhra Pradesh,krishna,521401.0,109.0,125.0
2025-01-03,Karnataka,davangere,577001.0,318.0,517.0
2025-01-03,Kerala,kannur,670633.0,22.0,52.0
2025-01-03,Karnataka,shivamogga,577401.0,62.0,50.0
2025-01-03,West Bengal,bankura,722151.0,178.0,160.0
2025-01-03,Rajasthan,rajsamand,313331.0,454.0,345.0
2025-01-03,Kerala,thiruvananthapuram,695582.0,33.0,90.0
2025-01-03,Assam,cachar,788123.0,15.0,21.0
2025-01-03,Karnataka,davangere,577003.0,39.0,87.0
2025-01-03,Tamil Nadu,namakkal,636203.0,49.0,51.0
2025-01-03,Tamil Nadu,thiruvarur,614704.0,174.0,105.0
2025-01-03,Telangana,karimnagar,505331.0,68.0,77.0
2025-01-03,Assam,south salmara mankachar,783131.0,63.0,49.0
2025-01-03,Himachal Pradesh,shimla,171201.0,42.0,54.0
2025-01-03,Telangana,nalgonda,508210.0,69.0,64.0
2025-01-03,Bihar,saharsa,852210.0,58.0,118.0
2025-01-03,Tamil Nadu,kanniyakumari,629165.0,40.0,115.0
2025-01-03,Telangana,medak,502280.0,32.0,46.0
2025-01-03,Telangana,warangal,506015.0,31.0,29.0
2025-01-03,Tamil Nadu,viluppuram,604203.0,35.0,70.0
2025-01-03,Goa,north goa,403115.0,13.0,8.0
2025-01-03,West Bengal,barddhaman,713158.0,12.0,13.0
2025-01-03,Gujarat,vadodara,390006.0,248.0,496.0
2025-01-03,Odisha,balangir,767033.0,247.0,482.0
2025-01-03,Nagaland,dimapur,797103.0,155.0,381.0
2025-01-03,Maharashtra,amravati,444801.0,291.0,1013.0
2025-01-03,Odisha,kendrapara,754224.0,381.0,483.0
2025-01-03,Jharkhand,palamu,822113.0,1487.0,1171.0
2025-01-03,Delhi,south west delhi,110072.0,183.0,153.0
2025-01-03,Tamil Nadu,salem,636008.0,410.0,430.0
2025-01-03,Tamil Nadu,thoothukkudi,628612.0,86.0,375.0
2025-01-03,Jammu And Kashmir,kupwara,193224.0,455.0,752.0
2025-01-03,Karnataka,vijayapura,586117.0,172.0,78.0
2025-01-03,Haryana,rewari,123102.0,96.0,201.0
2025-01-03,Gujarat,banaskantha,385320.0,486.0,570.0
2025-01-03,Rajasthan,nagaur,341513.0,148.0,201.0
2025-01-03,Maharashtra,dhule,424308.0,103.0,355.0
2025-01-03,Kerala,kozhikode,673508.0,91.0,141.0
2025-01-03,Telangana,warangal,506105.0,59.0,70.0
2025-01-03,Maharashtra,ratnagiri,415606.0,47.0,182.0
2025-01-03,Himachal Pradesh,kangra,176206.0,135.0,149.0
2025-01-03,Andhra Pradesh,srikakulam,532292.0,377.0,54.0
2025-01-03,Tamil Nadu,ramanathapuram,623401.0,32.0,106.0
2025-01-03,Andhra Pradesh,adilabad,504215.0,17.0,102.0
2025-01-03,Tamil Nadu,tiruchirappalli,621014.0,73.0,65.0
2025-01-03,Kerala,ernakulam,682034.0,32.0,50.0
2025-01-03,Punjab,moga,151208.0,56.0,60.0
2025-01-03,Odisha,khorda,754001.0,23.0,31.0
2025-01-03,Tamil Nadu,nagapattinam,609311.0,57.0,49.0
2025-01-03,Kerala,thiruvananthapuram,695143.0,25.0,66.0
2025-01-03,Tamil Nadu,kanniyakumari,629901.0,20.0,60.0
2025-01-03,Himachal Pradesh,kinnaur,172109.0,11.0,21.0
2025-01-03,Odisha,baleswar,756032.0,250.0,452.0
2025-01-03,Bihar,katihar,855105.0,684.0,838.0
2025-01-03,Odisha,jajapur,755043.0,123.0,116.0
2025-01-03,Madhya Pradesh,rewa,486223.0,737.0,750.0
2025-01-03,Maharashtra,wardha,442201.0,262.0,612.0
2025-01-03,Uttar Pradesh,ballia,277209.0,293.0,185.0
2025-01-03,Odisha,mayurbhanj,757014.0,99.0,170.0
2025-01-03,Madhya Pradesh,morena,476229.0,2064.0,1323.0
2025-01-03,Rajasthan,jodhpur,342901.0,181.0,185.0
2025-01-03,Punjab,shaheed bhagat singh nagar,144517.0,78.0,162.0
2025-01-03,Karnataka,dharwad,580008.0,189.0,259.0
2025-01-03,Andhra Pradesh,guntur,522549.0,188.0,130.0
2025-01-03,Jharkhand,ranchi,834003.0,354.0,458.0
2025-01-03,Andhra Pradesh,visakhapatnam,530013.0,148.0,276.0
2025-01-03,Kerala,thrissur,680505.0,11.0,69.0
2025-01-03,Tamil Nadu,salem,636105.0,490.0,169.0
2025-01-03,Maharashtra,ahmadnagar,413718.0,53.0,102.0
2025-01-03,Uttar Pradesh,lucknow,226012.0,232.0,252.0
2025-01-03,Madhya Pradesh,jhabua,457993.0,264.0,412.0
2025-01-03,Tamil Nadu,tirunelveli,627117.0,246.0,293.0
2025-01-03,Odisha,balangir,767046.0,45.0,79.0
2025-01-03,West Bengal,maldah,732103.0,11.0,85.0
2025-01-03,Nagaland,phek,797108.0,29.0,112.0
2025-01-03,Maharashtra,nagpur,440012.0,38.0,106.0
2025-01-03,Telangana,bhadradri kothagudem,507124.0,23.0,40.0
2025-01-03,Uttar Pradesh,bara banki,225206.0,259.0,117.0
2025-01-03,Tamil Nadu,villupuram,604305.0,24.0,9.0
2025-01-03,Kerala,ernakulam,682019.0,55.0,113.0
2025-01-03,Rajasthan,sikar,332603.0,63.0,115.0
2025-01-03,Kerala,alappuzha,690572.0,32.0,67.0
2025-01-03,Uttar Pradesh,lucknow,226030.0,10.0,24.0
2025-01-03,Kerala,pathanamthitta,689625.0,14.0,38.0
2025-01-03,Bihar,patna,800018.0,21.0,20.0
2025-01-03,Himachal Pradesh,solan,173223.0,14.0,23.0
2025-01-03,Kerala,thiruvananthapuram,695025.0,10.0,29.0
2025-01-03,Karnataka,kalaburagi,585217.0,124.0,81.0
2025-01-03,Uttar Pradesh,siddharthnagar,272153.0,1457.0,670.0
2025-01-03,Bihar,supaul,852123.0,43.0,87.0
2025-01-03,Tamil Nadu,erode,638452.0,160.0,209.0
2025-01-03,Madhya Pradesh,gwalior,474012.0,323.0,246.0
2025-01-03,Andhra Pradesh,sri sathya sai,515591.0,43.0,35.0
2025-01-03,Maharashtra,ahmadnagar,414402.0,158.0,263.0
2025-01-03,Bihar,begusarai,851127.0,767.0,924.0
2025-01-03,Odisha,kalahandi,766002.0,686.0,1107.0
2025-01-03,Maharashtra,solapur,413101.0,108.0,350.0
2025-01-03,Tamil Nadu,sivaganga,630557.0,36.0,40.0
2025-01-03,Odisha,koraput,764057.0,440.0,509.0
2025-01-03,Chhattisgarh,janjgir-champa,495660.0,101.0,420.0
2025-01-03,Chhattisgarh,koriya,497449.0,158.0,924.0
2025-01-03,Uttar Pradesh,bahraich,271803.0,107.0,36.0
2025-01-03,Andhra Pradesh,anantapur,515541.0,21.0,47.0
2025-01-03,West Bengal,jalpaiguri,735121.0,119.0,154.0
2025-01-03,Tamil Nadu,tiruvallur,600116.0,217.0,360.0
2025-01-03,Jammu And Kashmir,jammu,181204.0,75.0,115.0
2025-01-03,Madhya Pradesh,shajapur,465113.0,149.0,129.0
2025-01-03,Madhya Pradesh,khargone,451442.0,335.0,427.0
2025-01-03,Uttar Pradesh,basti,272177.0,40.0,45.0
2025-01-03,Gujarat,panchmahals,389220.0,79.0,423.0
2025-01-03,Telangana,warangal,506122.0,79.0,71.0
2025-01-03,Maharashtra,kolhapur,416234.0,74.0,140.0
2025-01-03,Andhra Pradesh,east godavari,533293.0,141.0,48.0
2025-01-03,Gujarat,devbhumi dwarka,360590.0,18.0,1.0
2025-01-03,Gujarat,anand,388540.0,202.0,240.0
2025-01-03,Andhra Pradesh,guntur,522265.0,349.0,132.0
2025-01-03,Andhra Pradesh,hyderabad,500017.0,32.0,226.0
2025-01-03,Tamil Nadu,tirupattur,635710.0,94.0,7.0
2025-01-03,Andhra Pradesh,chittoor,517213.0,101.0,58.0
2025-01-03,Gujarat,vadodara,391130.0,11.0,49.0
2025-01-03,Madhya Pradesh,jabalpur,482005.0,310.0,506.0
2025-01-03,Karnataka,raichur,584118.0,116.0,134.0
2025-01-03,Assam,kamrup,781104.0,107.0,29.0
2025-01-03,Gujarat,rajkot,360024.0,122.0,89.0
2025-01-03,Andhra Pradesh,hyderabad,500065.0,23.0,104.0
2025-01-03,Madhya Pradesh,west nimar,451115.0,12.0,54.0
2025-01-03,Andhra Pradesh,krishna,521162.0,80.0,24.0
2025-01-03,West Bengal,uttar dinajpur,733252.0,13.0,14.0
2025-01-03,Rajasthan,pali,306503.0,66.0,146.0
2025-01-03,Odisha,ganjam,761041.0,86.0,174.0
2025-01-03,Telangana,k.v. rangareddy,509217.0,146.0,171.0
2025-01-03,Uttar Pradesh,allahabad,221507.0,262.0,174.0
2025-01-03,West Bengal,uttar dinajpur,733202.0,198.0,568.0
2025-01-03,Jharkhand,bokaro,827302.0,235.0,471.0
2025-01-03,Bihar,darbhanga,847306.0,330.0,381.0
2025-01-03,Bihar,banka,811308.0,16.0,18.0
2025-01-03,Jharkhand,godda,814160.0,1193.0,550.0
2025-01-03,Kerala,malappuram,676103.0,48.0,64.0
2025-01-03,Rajasthan,barmer,344001.0,758.0,887.0
2025-01-03,Uttar Pradesh,unnao,241501.0,1265.0,369.0
2025-01-03,Jharkhand,latehar,829203.0,368.0,570.0
2025-01-03,Karnataka,tumkur,572136.0,18.0,31.0
2025-01-03,Uttar Pradesh,budaun,202524.0,261.0,117.0
2025-01-03,Odisha,khorda,752031.0,193.0,262.0
2025-01-03,West Bengal,purba medinipur,721455.0,43.0,64.0
2025-01-03,Odisha,sundergarh,770048.0,276.0,194.0
2025-01-03,Jharkhand,latehar,822126.0,508.0,260.0
2025-01-03,West Bengal,birbhum,731224.0,344.0,550.0
2025-01-03,Jammu And Kashmir,samba,181133.0,77.0,90.0
2025-01-03,Chhattisgarh,baloda bazar,493113.0,34.0,109.0
2025-01-03,Uttar Pradesh,kanpur dehat,209115.0,376.0,103.0
2025-01-03,West Bengal,south 24 parganas,743375.0,247.0,333.0
2025-01-03,Chhattisgarh,jashpur,496331.0,103.0,527.0
2025-01-03,Maharashtra,chandrapur,442505.0,145.0,359.0
2025-01-03,Uttarakhand,bageshwar,263631.0,21.0,48.0
2025-01-03,Tamil Nadu,cuddalore,607805.0,114.0,106.0
2025-01-03,Uttar Pradesh,aligarh,202125.0,750.0,139.0
2025-01-03,Assam,goalpara,783121.0,26.0,28.0
2025-01-03,Maharashtra,ahmadnagar,413706.0,130.0,358.0
2025-01-03,Gujarat,mahisagar,389240.0,215.0,165.0
2025-01-03,Assam,dibrugarh,786602.0,93.0,73.0
2025-01-03,Rajasthan,sikar,332722.0,63.0,111.0
2025-01-03,Gujarat,patan,384220.0,86.0,142.0
2025-01-03,Himachal Pradesh,bilaspur,174024.0,21.0,44.0
2025-01-03,Uttarakhand,tehri garhwal,249146.0,179.0,115.0
2025-01-03,Jharkhand,ranchi,835101.0,87.0,274.0
2025-01-03,West Bengal,north 24 parganas,743245.0,197.0,175.0
2025-01-03,West Bengal,barddhaman,713502.0,94.0,131.0
2025-01-03,Jharkhand,latehar,829208.0,30.0,23.0
2025-01-03,Assam,nagaon,782427.0,27.0,98.0
2025-01-03,Meghalaya,south west khasi hills,793106.0,69.0,156.0
2025-01-03,Rajasthan,kota,324004.0,170.0,252.0
2025-01-03,Tamil Nadu,virudhunagar,626118.0,20.0,37.0
2025-01-03,Tamil Nadu,krishnagiri,635106.0,26.0,34.0
2025-01-03,Karnataka,hassan,573129.0,31.0,16.0
2025-01-03,Tamil Nadu,villupuram,605107.0,76.0,22.0
2025-01-03,Karnataka,ballari,583220.0,27.0,10.0
2025-01-03,Assam,kamrup,781101.0,32.0,24.0
2025-01-03,Kerala,kozhikode,673604.0,37.0,68.0
2025-01-03,Telangana,mancherial,504301.0,24.0,21.0
2025-01-03,Kerala,alappuzha,690533.0,34.0,58.0
2025-01-03,Tamil Nadu,namakkal,636118.0,30.0,18.0
2025-01-03,Himachal Pradesh,kinnaur,172118.0,11.0,13.0
2025-01-03,West Bengal,hooghly,712424.0,24.0,26.0
2025-01-03,Uttar Pradesh,meerut,250401.0,1113.0,588.0
2025-01-03,Maharashtra,nanded,431806.0,573.0,472.0
2025-01-03,Uttar Pradesh,kushinagar,274149.0,353.0,407.0
2025-01-03,Uttar Pradesh,gorakhpur,273209.0,582.0,689.0
2025-01-03,Punjab,sangrur,148033.0,294.0,660.0
2025-01-03,Madhya Pradesh,jhabua,457779.0,377.0,1107.0
2025-01-03,Tamil Nadu,the nilgiris,643212.0,400.0,337.0
2025-01-03,Rajasthan,churu,331504.0,66.0,82.0
2025-01-03,Uttar Pradesh,faizabad,224205.0,102.0,44.0
2025-01-03,Karnataka,davangere,583131.0,307.0,154.0
2025-01-03,Assam,barpeta,781355.0,92.0,6.0
2025-01-03,Jharkhand,lohardaga,835325.0,176.0,502.0
2025-01-03,Telangana,nalgonda,508001.0,328.0,513.0
2025-01-03,Chandigarh,chandigarh,160002.0,259.0,256.0
2025-01-03,Rajasthan,udaipur,313603.0,210.0,325.0
2025-01-03,Madhya Pradesh,seoni,480881.0,185.0,183.0
2025-01-03,Andhra Pradesh,srikakulam,532406.0,70.0,23.0
2025-01-03,Haryana,hisar,125112.0,91.0,214.0
2025-01-03,Tamil Nadu,virudhunagar,626139.0,61.0,21.0
2025-01-03,West Bengal,howrah,711112.0,34.0,63.0
2025-01-03,Jharkhand,bokaro,827009.0,132.0,290.0
2025-01-03,Karnataka,tumakuru,572125.0,30.0,33.0
2025-01-03,Maharashtra,amravati,444723.0,145.0,346.0
2025-01-03,Maharashtra,ratnagiri,415613.0,41.0,88.0
2025-01-03,West Bengal,barddhaman,713426.0,47.0,98.0
2025-01-03,Jammu And Kashmir,kathua,184148.0,118.0,145.0
2025-01-03,Uttarakhand,pithoragarh,262554.0,48.0,117.0
2025-01-03,Andhra Pradesh,annamayya,517214.0,17.0,39.0
2025-01-03,Andhra Pradesh,east godavari,533448.0,82.0,39.0
2025-01-03,Karnataka,belagavi,591263.0,26.0,24.0
2025-01-03,Madhya Pradesh,narmadapuram,461771.0,11.0,107.0
2025-01-03,Madhya Pradesh,ujjain,456661.0,119.0,76.0
2025-01-03,Telangana,jogulamba gadwal,509128.0,81.0,77.0
2025-01-03,Nagaland,mon,798622.0,27.0,130.0
2025-01-03,Uttar Pradesh,varanasi,221006.0,34.0,28.0
2025-01-03,Tamil Nadu,kanniyakumari,629502.0,35.0,133.0
2025-01-03,Madhya Pradesh,east nimar,450771.0,34.0,124.0
2025-01-03,Gujarat,amreli,365660.0,24.0,93.0
2025-01-03,Kerala,kollam,691574.0,49.0,87.0
2025-01-03,Andhra Pradesh,kurnool,518452.0,290.0,95.0
2025-01-03,Karnataka,raichur,584134.0,84.0,120.0
2025-01-03,Karnataka,chitradurga,577554.0,17.0,40.0
2025-01-03,Haryana,charkhi dadri,127022.0,17.0,53.0
2025-01-03,Andhra Pradesh,y. s. r,516193.0,17.0,14.0
2025-01-03,Uttar Pradesh,chandauli,232106.0,523.0,214.0
2025-01-03,Telangana,warangal,506144.0,21.0,13.0
2025-01-03,Rajasthan,karauli,322255.0,206.0,228.0
2025-01-03,Goa,south goa,403410.0,13.0,16.0
2025-01-03,Uttar Pradesh,allahabad,211010.0,66.0,31.0
2025-01-03,Karnataka,tumakuru,572136.0,33.0,29.0
2025-01-03,Karnataka,dakshina kannada,574213.0,17.0,60.0
2025-01-03,Kerala,palakkad,678762.0,56.0,81.0
2025-01-03,West Bengal,north 24 parganas,743291.0,41.0,70.0
2025-01-03,Goa,south goa,403721.0,10.0,14.0
2025-01-03,Goa,south goa,403705.0,104.0,91.0
2025-01-03,Andhra Pradesh,anantapur,515271.0,51.0,52.0
2025-01-03,Kerala,idukki,685586.0,15.0,55.0
2025-01-03,Telangana,k.v. rangareddy,509321.0,63.0,121.0
2025-01-03,Andhra Pradesh,nizamabad,503245.0,13.0,16.0
2025-01-03,Kerala,kottayam,686573.0,27.0,45.0
2025-01-03,Assam,kamrup metro,781026.0,73.0,45.0
2025-01-03,West Bengal,hooghly,712258.0,27.0,50.0
2025-01-03,Maharashtra,mumbai suburban,400052.0,58.0,68.0
2025-01-03,Karnataka,chitradurga,577521.0,12.0,39.0
2025-01-03,Jammu And Kashmir,leh,194106.0,18.0,19.0
2025-01-03,Tamil Nadu,tirunelveli,627428.0,10.0,7.0
2025-01-03,Uttar Pradesh,lucknow,226020.0,560.0,442.0
2025-01-03,Himachal Pradesh,kangra,176051.0,108.0,167.0
2025-01-03,Uttar Pradesh,budaun,243641.0,197.0,127.0
2025-01-03,Gujarat,kachchh,370165.0,328.0,329.0
2025-01-03,Bihar,darbhanga,847239.0,222.0,249.0
2025-01-03,Himachal Pradesh,chamba,176316.0,201.0,617.0
2025-01-03,Tamil Nadu,kancheepuram,603002.0,233.0,238.0
2025-01-03,Andhra Pradesh,adilabad,504294.0,23.0,243.0
2025-01-03,West Bengal,hooghly,712303.0,113.0,125.0
2025-01-03,Haryana,fatehabad,125053.0,184.0,490.0
2025-01-03,Andhra Pradesh,chittoor,517507.0,389.0,219.0
2025-01-03,Karnataka,vijayapura,586102.0,62.0,38.0
2025-01-03,Gujarat,surat,394315.0,37.0,49.0
2025-01-03,Tamil Nadu,kancheepuram,631552.0,147.0,57.0
2025-01-03,Karnataka,vijayapura,586245.0,99.0,41.0
2025-01-03,West Bengal,north 24 parganas,700122.0,78.0,169.0
2025-01-03,Kerala,ernakulam,682021.0,64.0,158.0
2025-01-03,Telangana,warangal rural,506342.0,23.0,15.0
2025-01-03,Orissa,puri,752106.0,11.0,83.0
2025-01-03,Tamil Nadu,kanniyakumari,629155.0,13.0,32.0
2025-01-03,Telangana,peddapalli,505208.0,16.0,22.0
2025-01-03,Andhra Pradesh,vizianagaram,535125.0,153.0,40.0
2025-01-03,Assam,jorhat,785101.0,28.0,21.0
2025-01-03,Tamil Nadu,chennai,600007.0,114.0,152.0
2025-01-03,Uttarakhand,tehri garhwal,249121.0,20.0,42.0
2025-01-03,Andhra Pradesh,srikakulam,532221.0,274.0,138.0
2025-01-03,Rajasthan,bharatpur,321411.0,129.0,145.0
2025-01-03,Telangana,suryapet,508233.0,19.0,74.0
2025-01-03,Kerala,thrissur,680670.0,27.0,13.0
2025-01-03,Telangana,adilabad,504109.0,20.0,21.0
2025-01-03,Tamil Nadu,tirupattur,635655.0,25.0,7.0
2025-01-03,Andhra Pradesh,east godavari,533104.0,35.0,8.0
2025-01-03,Rajasthan,alwar,301402.0,728.0,597.0
2025-01-03,Uttar Pradesh,kanpur nagar,208020.0,180.0,218.0
2025-01-03,Andhra Pradesh,guntur,522411.0,142.0,78.0
2025-01-03,Madhya Pradesh,bhind,477660.0,280.0,234.0
2025-01-03,Uttarakhand,tehri garhwal,249180.0,128.0,225.0
2025-01-03,Uttar Pradesh,sonbhadra,231225.0,702.0,162.0
2025-01-03,Gujarat,bhavnagar,364120.0,135.0,182.0
2025-01-03,Punjab,patiala,140412.0,20.0,62.0
2025-01-03,Assam,karbi anglong,782441.0,206.0,98.0
2025-01-03,Tamil Nadu,nagapattinam,609309.0,105.0,92.0
2025-01-03,Odisha,balangir,767030.0,81.0,121.0
2025-01-03,Gujarat,panchmahals,389001.0,555.0,1177.0
2025-01-03,Andhra Pradesh,kurnool,518206.0,135.0,33.0
2025-01-03,Kerala,wayanad,673581.0,22.0,42.0
2025-01-03,Gujarat,kachchh,370605.0,225.0,106.0
2025-01-03,Karnataka,vijayapura,586118.0,107.0,66.0
2025-01-03,Chhattisgarh,kondagaon,494230.0,17.0,175.0
2025-01-03,Tamil Nadu,villupuram,604202.0,196.0,90.0
2025-01-03,Tamil Nadu,tiruvallur,631205.0,314.0,204.0
2025-01-03,Karnataka,kolar,563162.0,189.0,158.0
2025-01-03,Tamil Nadu,the nilgiris,643223.0,69.0,35.0
2025-01-03,Maharashtra,ratnagiri,415608.0,54.0,165.0
2025-01-03,Tamil Nadu,sivaganga,630410.0,161.0,152.0
2025-01-03,Maharashtra,amravati,444804.0,90.0,403.0
2025-01-03,Andhra Pradesh,east godavari,533006.0,112.0,123.0
2025-01-03,Jammu And Kashmir,srinagar,190023.0,84.0,142.0
2025-01-03,Madhya Pradesh,bhind,477449.0,69.0,56.0
2025-01-03,Tamil Nadu,sivaganga,625102.0,14.0,8.0
2025-01-03,Andhra Pradesh,ananthapuramu,515731.0,183.0,25.0
2025-01-03,Andhra Pradesh,visakhapatnam,535273.0,74.0,200.0
2025-01-03,Rajasthan,jhunjhunun,331025.0,32.0,88.0
2025-01-03,Kerala,ernakulam,683541.0,32.0,102.0
2025-01-03,Haryana,yamuna nagar,135106.0,119.0,159.0
2025-01-03,Karnataka,bagalkot,587113.0,130.0,143.0
2025-01-03,Rajasthan,jalor,343029.0,320.0,645.0
2025-01-03,Maharashtra,ratnagiri,415605.0,172.0,570.0
2025-01-03,Madhya Pradesh,datia,475336.0,194.0,166.0
2025-01-03,West Bengal,south 24 parganas,743609.0,113.0,161.0
2025-01-03,Maharashtra,nashik,422222.0,50.0,129.0
2025-01-03,Madhya Pradesh,seoni,480994.0,334.0,224.0
2025-01-03,Karnataka,mandya,571463.0,46.0,34.0
2025-01-03,Haryana,faridabad,121101.0,269.0,513.0
2025-01-03,Andhra Pradesh,cuddapah,516502.0,151.0,59.0
2025-01-03,Bihar,bhagalpur,812004.0,510.0,412.0
2025-01-03,Uttar Pradesh,rampur,244925.0,1016.0,371.0
2025-01-03,Punjab,tarn taran,143305.0,274.0,557.0
2025-01-03,Maharashtra,gadchiroli,441217.0,114.0,496.0
2025-01-03,Madhya Pradesh,mandsaur,458669.0,152.0,146.0
2025-01-03,Maharashtra,nandurbar,425426.0,245.0,212.0
2025-01-03,Tamil Nadu,coimbatore,642127.0,214.0,113.0
2025-01-03,Gujarat,junagadh,362225.0,181.0,337.0
2025-01-03,Punjab,malerkotla,148023.0,220.0,587.0
2025-01-03,Kerala,thrissur,680567.0,76.0,98.0
2025-01-03,Gujarat,rajkot,360330.0,110.0,78.0
2025-01-03,Uttar Pradesh,kannauj,209722.0,419.0,228.0
2025-01-03,West Bengal,barddhaman,713217.0,10.0,26.0
2025-01-03,Gujarat,vadodara,391740.0,161.0,211.0
2025-01-03,Gujarat,kachchh,370425.0,46.0,20.0
2025-01-03,Nagaland,kohima,797005.0,52.0,293.0
2025-01-03,Bihar,saran,841215.0,116.0,189.0
2025-01-03,Tamil Nadu,coimbatore,641027.0,134.0,255.0
